10:30:26:323 [ALWAYS]	GUDE Logging Started
10:30:26:323 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:30:26:323 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:30:26:323 [ERROR]	Initialize resume cache pointer failure
10:30:26:324 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
10:30:26:324 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
10:30:28:500 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
10:30:28:500 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
10:30:28:500 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
10:30:28:500 [ERROR]	Initialize resume cache pointer failure
10:30:28:501 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
10:30:28:501 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
